Epoch	Loss	Accuracy	Val_Loss	Val_Accuracy
1	0.006977634504437447	1.0	0.001245672581717372	1.0
2	0.00010669706534827128	1.0	0.0012648527044802904	1.0
3	0.00010854638094315305	1.0	0.0012893748935312033	1.0
4	0.0017792960861697793	1.0	0.0013582877581939101	1.0
5	9.016040712594986e-05	1.0	0.001424836809746921	1.0
6	2.8567628760356456e-05	1.0	0.0014941759873181581	1.0
7	0.0024109056685119867	1.0	0.0015605913940817118	1.0
8	0.00715266726911068	1.0	0.001684168935753405	1.0
9	1.3364948244998232e-05	1.0	0.0018059429712593555	1.0
10	0.0042769345454871655	1.0	0.002027553739026189	1.0
11	0.00012094859266653657	1.0	0.0022509321570396423	1.0
12	1.8663536138774361e-06	1.0	0.0024759462103247643	1.0
13	2.976017822220456e-05	1.0	0.0027003225404769182	1.0
14	0.0004067348490934819	1.0	0.0028978856280446053	1.0
15	0.00012113117554690689	1.0	0.0030885273590683937	1.0
16	0.0005218409933149815	1.0	0.00325511721894145	1.0
17	6.471409142250195e-05	1.0	0.0034126266837120056	1.0
18	4.196329246042296e-05	1.0	0.003554685041308403	1.0
19	0.0012099527521058917	1.0	0.0036785551346838474	1.0
20	0.0001924569660332054	1.0	0.0037903026677668095	1.0
21	0.0003087426593992859	1.0	0.0038955616764724255	1.0
22	0.0005405728006735444	1.0	0.003978657070547342	1.0
23	0.00010969994764309376	1.0	0.004048690665513277	1.0
24	0.0002128432533936575	1.0	0.004112268332391977	1.0
25	4.723553502117284e-06	1.0	0.004171110689640045	1.0
26	9.70418841461651e-05	1.0	0.004222323186695576	1.0
27	0.005334308370947838	1.0	0.004354745149612427	1.0
28	0.00012946061906404793	1.0	0.004485078155994415	1.0
29	0.000278053164947778	1.0	0.004613528959453106	1.0
30	0.0013965911930426955	1.0	0.0047409143298864365	1.0
