Epoch	Loss	Accuracy	Val_Loss	Val_Accuracy
1	0.16103556752204895	0.9375	1.2249717712402344	0.625
2	0.11919120699167252	0.96875	1.1047906875610352	0.65625
3	0.026854457333683968	1.0	1.1208395957946777	0.65625
4	0.04292057454586029	1.0	1.179962396621704	0.65625
5	0.07796107977628708	0.96875	1.2365310192108154	0.71875
6	0.14586134254932404	0.9375	1.2070008516311646	0.6875
7	0.044832743704319	1.0	1.1765103340148926	0.6875
8	0.11658370494842529	0.9375	1.1024248600006104	0.71875
9	0.03410330042243004	1.0	1.0632123947143555	0.71875
10	0.08218363672494888	0.96875	1.0474903583526611	0.75
11	0.04743456095457077	1.0	1.0523881912231445	0.6875
12	0.07536320388317108	0.96875	1.0431978702545166	0.6875
13	0.0511622354388237	1.0	1.1119439601898193	0.59375
14	0.022792769595980644	1.0	1.218331217765808	0.625
15	0.0175982266664505	1.0	1.3192014694213867	0.65625
16	0.08620511740446091	0.96875	1.3907400369644165	0.625
17	0.016444027423858643	1.0	1.4460976123809814	0.5625
18	0.07678095996379852	0.96875	1.4593875408172607	0.59375
19	0.061354443430900574	0.9375	1.4207619428634644	0.59375
20	0.029250621795654297	1.0	1.3689095973968506	0.59375
21	0.04353545606136322	1.0	1.3043389320373535	0.59375
22	0.05107761546969414	0.96875	1.2538073062896729	0.625
23	0.011491741053760052	1.0	1.2244608402252197	0.65625
24	0.010584993287920952	1.0	1.2108447551727295	0.6875
25	0.07108087092638016	1.0	1.191105842590332	0.6875
26	0.01178759802132845	1.0	1.1806153059005737	0.6875
27	0.011735656298696995	1.0	1.1758475303649902	0.65625
28	0.013005143962800503	1.0	1.1781809329986572	0.65625
29	0.0266804751008749	1.0	1.1911826133728027	0.625
30	0.015920495614409447	1.0	1.2056052684783936	0.625
