Epoch	Loss	Accuracy	Val_Loss	Val_Accuracy
1	0.07289548218250275	1.0	2.0833864212036133	0.53125
2	0.07163219898939133	0.96875	2.0583009719848633	0.5625
3	0.15723027288913727	0.9375	1.9944813251495361	0.5625
4	0.07144143432378769	0.96875	1.9406942129135132	0.5625
5	0.08819172531366348	0.96875	1.8935813903808594	0.53125
6	0.01955629698932171	1.0	1.8707077503204346	0.53125
7	0.027112003415822983	1.0	1.8691167831420898	0.53125
8	0.07207740843296051	0.96875	1.8938636779785156	0.5625
9	0.1189303919672966	0.9375	1.9143872261047363	0.59375
10	0.1862051635980606	0.9375	1.9738686084747314	0.59375
11	0.06210979074239731	0.96875	2.023690938949585	0.59375
12	0.03464442119002342	0.96875	2.089878559112549	0.59375
13	0.05730096250772476	1.0	2.133178472518921	0.59375
14	0.02527248114347458	1.0	2.1768651008605957	0.625
15	0.08747734129428864	0.96875	2.15185284614563	0.625
16	0.10149957239627838	0.96875	2.145864963531494	0.5625
17	0.03509209305047989	1.0	2.182649612426758	0.53125
18	0.06522750854492188	0.96875	2.2068028450012207	0.5625
19	0.027233146131038666	1.0	2.2374472618103027	0.5625
20	0.02130718342959881	1.0	2.2605724334716797	0.5625
21	0.0158891212195158	1.0	2.282498598098755	0.5
22	0.08339574933052063	0.96875	2.2718727588653564	0.5
23	0.033452413976192474	1.0	2.255685329437256	0.5
24	0.10344570875167847	0.9375	2.2260303497314453	0.5
25	0.10079558193683624	0.96875	2.20173978805542	0.5
26	0.011965963058173656	1.0	2.1884207725524902	0.53125
27	0.0216837115585804	1.0	2.1858320236206055	0.53125
28	0.011355092748999596	1.0	2.1854701042175293	0.53125
29	0.015108072198927402	1.0	2.192075729370117	0.53125
30	0.014801906421780586	1.0	2.2003588676452637	0.53125
